transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_amount,transaction_month,transaction_year,high_value_transaction
T0001,2024-02-08,C2205,Headphones,5.0,420.21,PayPal,Unknown,2101.05,2,2024,Yes
T0002,2020-10-02,C3156,Coffee,469.0,445.34,Credit Card,Pending,208865.41,10,2020,Yes
T0003,2023-01-13,C2919,Tablet,4.0,810.99,Credit Card,Completed,3243.97,1,2023,Yes
T0004,2023-01-13,C3009,Tab,7.0,868.61,PayPal,Pending,6080.26,1,2023,Yes
T0005,2023-01-13,C3488,Coffee Machine,10.0,763.12,PayPal,Completed,7631.22,1,2023,Yes
T0006,2023-01-13,C4241,Smartphone,598.0,525.38,PayPal,Completed,314176.8,1,2023,Yes
,2023-01-13,C1313,Laptop,10.0,525.38,Credit Card,Completed,5253.79,1,2023,Yes
T0008,2023-01-13,C4736,Headphones,669.0,86.92,Cash,Unknown,58150.33,1,2023,Yes
T0009,2023-01-13,C3387,Tablet,10.0,461.7,PayPal,Unknown,4617.02,1,2023,Yes
T0010,2023-01-13,C2846,Laptop,1.0,404.89,Credit Card,Pending,404.89,1,2023,No
T0011,2023-01-13,C1004,Laptop,10.0,600.84,PayPal,Completed,6008.39,1,2023,Yes
T0012,2023-01-13,C2912,Tablet,608.0,525.38,PayPal,Completed,319430.6,1,2023,Yes
T0013,2023-01-13,C1692,Smartphone,564.0,525.38,Cash,Completed,296313.91,1,2023,Yes
T0014,2023-01-13,C2992,Coffee Machine,696.0,905.51,Credit Card,Failed,630238.25,1,2023,Yes
T0015,2023-01-13,C3879,Headphones,2.0,523.84,Credit Card,Pending,1047.69,1,2023,Yes
T0016,2023-01-13,C2837,Laptop,3.0,525.38,Credit Card,Pending,1576.14,1,2023,Yes
T0017,2020-07-07,C3776,Smartphone,236.0,94.56,Credit Card,Pending,22315.51,7,2020,Yes
T0018,2023-01-13,C847,Coffee Ma,7.0,108.44,Credit Card,Completed,759.06,1,2023,No
T0019,2023-01-13,C4871,Smartphone,8.0,525.38,PayPal,Pending,4203.03,1,2023,Yes
T0020,2023-01-13,C1924,Headphones,6.0,525.38,PayPal,Unknown,3152.28,1,2023,Yes
T0021,2023-01-13,C1137,Coffee Machine,856.0,488.86,Credit Card,Failed,418466.43,1,2023,Yes
T0022,2023-01-13,C3883,Smartphone,9.0,525.38,Credit Card,Completed,4728.41,1,2023,Yes
T0023,2023-01-13,C4877,Tablet,538.0,733.83,PayPal,Completed,394800.12,1,2023,Yes
T0024,2023-03-11,C828,Coffee Machine,487.0,525.38,Cash,Unknown,255859.7,3,2023,Yes
T0025,2023-01-13,C4985,Tablet,114.0,276.94,PayPal,Unknown,31570.74,1,2023,Yes
T0026,2020-01-01,C1096,Cof,654.0,525.38,PayPal,Completed,343598.04,1,2020,Yes
T73466,2023-01-13,C2702,Coffee Machine,5.0,555.61,Credit Card,Completed,2778.07,1,2023,Yes
T0028,2023-01-13,C3025,Smar,7.0,797.34,PayPal,Completed,5581.38,1,2023,Yes
T0029,2023-01-13,C1345,Smartphone,5.0,295.77,PayPal,Pending,1478.83,1,2023,Yes
T0030,2023-01-13,C3058,Headphones,5.0,525.38,PayPal,Failed,2626.9,1,2023,Yes
T0031,2023-01-13,C3672,Tablet,5.0,787.99,Credit Card,Completed,3939.97,1,2023,Yes
T0032,2023-05-10,Unknown,Laptop,7.0,525.38,Credit Card,Completed,3677.65,5,2023,Yes
T0033,2023-01-13,C1844,Coffee Machine,3.0,546.78,PayPal,Failed,1640.34,1,2023,Yes
T0034,2023-01-13,C1406,Coffee Machine,3.0,120.68,Credit Card,Completed,362.04,1,2023,No
T0035,2023-01-13,C2579,Coffee Machine,485.0,970.28,Credit Card,Completed,470585.8,1,2023,Yes
T0036,2023-01-13,C292,Laptop,2.0,596.43,PayPal,Completed,1192.85,1,2023,Yes
T0037,2023-01-13,C2492,Smartphone,10.0,711.71,PayPal,Pending,7117.1,1,2023,Yes
T0038,2023-01-13,C2208,Laptop,8.0,525.38,Credit Card,Failed,4203.03,1,2023,Yes
T0039,2023-01-13,C4687,Tablet,9.0,525.38,PayPal,Completed,4728.41,1,2023,Yes
T0040,2023-01-13,C3328,Headphones,7.0,525.38,PayPal,Failed,3677.65,1,2023,Yes
